('DB00258', 'DB00060')
('DB03325', 'DB09045')
('DB09320', 'DB00058')
('DB01697', 'DB04899')
('DB01994', 'DB04899')
('DB12150', 'DB00013')
('DB06288', 'DB00058')
('DB00774', 'DB09045')
('DB00378', 'DB09045')
('DB09012', 'DB00003')
('DB13026', 'DB00003')
('DB01620', 'DB00100')
('DB03347', 'DB00005')
('DB03938', 'DB05829')
('DB06851', 'DB00100')
('DB12062', 'DB00053')
('DB03708', 'DB00005')
('DB00303', 'DB00003')
('DB03240', 'DB04899')
('DB09144', 'DB00009')
('DB04872', 'DB00003')
('DB07505', 'DB00103')
('DB01996', 'DB00100')
('DB11154', 'DB00053')
('DB11649', 'DB00100')
('DB00954', 'DB04963')
('DB03276', 'DB04963')
('DB01382', 'DB00025')
('DB06941', 'DB00103')
('DB08905', 'DB09045')
('DB02189', 'DB00058')
('DB06815', 'DB00055')
('DB15566', 'DB00055')
('DB02629', 'DB00058')
('DB07295', 'DB00003')
('DB00970', 'DB00033')
('DB01493', 'DB05237')
('DB11592', 'DB00103')
('DB05791', 'DB00003')
('DB12930', 'DB00053')
('DB07766', 'DB00058')
('DB09481', 'DB00060')
('DB13587', 'DB05237')
('DB08989', 'DB04899')
('DB00362', 'DB00100')
('DB07892', 'DB00033')
('DB11649', 'DB04963')
('DB12521', 'DB00003')
('DB04289', 'DB05237')
('DB00473', 'DB05237')
('DB03639', 'DB00100')
('DB11750', 'DB00100')
('DB02381', 'DB09045')
('DB11159', 'DB00055')
('DB02606', 'DB00058')
('DB02816', 'DB00033')
('DB12178', 'DB00100')
('DB01655', 'DB05237')
('DB13158', 'DB04963')
('DB13003', 'DB00036')
('DB08719', 'DB00103')
('DB11749', 'DB05237')
('DB07814', 'DB05237')
('DB06201', 'DB00100')
('DB07830', 'DB00058')
('DB01010', 'DB00003')
('DB01650', 'DB00053')
('DB02586', 'DB00100')
('DB03608', 'DB00005')
('DB12821', 'DB00055')
('DB00371', 'DB00103')
('DB08660', 'DB00058')
('DB04063', 'DB00053')
('DB12856', 'DB00058')
('DB11998', 'DB00103')
('DB09288', 'DB00103')
('DB09018', 'DB00100')
('DB12248', 'DB00053')
('DB13679', 'DB00003')
('DB08284', 'DB05237')
('DB09340', 'DB00033')
('DB07447', 'DB04899')
('DB02349', 'DB04899')
('DB02756', 'DB04963')
('DB04364', 'DB00003')
('DB03058', 'DB00055')
('DB02856', 'DB04899')
('DB00437', 'DB01269')
('DB03618', 'DB04899')
('DB08436', 'DB05829')
('DB02892', 'DB05829')
('DB09216', 'DB09045')
('DB06849', 'DB09045')
('DB00954', 'DB00053')
('DB08379', 'DB00003')
('DB07258', 'DB05237')
('DB04542', 'DB00009')
('DB03868', 'DB00058')
('DB11921', 'DB09045')
('DB04808', 'DB00036')
('DB08001', 'DB00003')
('DB08653', 'DB05237')
('DB12151', 'DB04963')
('DB04770', 'DB00058')
('DB02548', 'DB09045')
('DB13111', 'DB04899')
('DB09134', 'DB04963')
('DB04877', 'DB00005')
('DB12804', 'DB04899')
('DB04542', 'DB00013')
('DB02976', 'DB00053')
('DB04669', 'DB05237')
('DB00807', 'DB00005')
('DB12651', 'DB05237')
('DB12931', 'DB00033')
('DB11649', 'DB00003')
('DB07694', 'DB00053')
('DB03514', 'DB00053')
('DB11781', 'DB00100')
('DB03422', 'DB04963')
('DB04903', 'DB00036')
('DB07036', 'DB00103')
('DB03680', 'DB05237')
('DB04281', 'DB00103')
('DB04687', 'DB00003')
('DB12883', 'DB00058')
('DB07082', 'DB00100')
('DB13136', 'DB00053')
('DB07791', 'DB00053')
('DB00634', 'DB00103')
('DB08293', 'DB04899')
('DB01237', 'DB04963')
('DB04982', 'DB00003')
('DB06852', 'DB00053')
('DB03511', 'DB00013')
('DB01526', 'DB05237')
('DB08719', 'DB00058')
('DB09010', 'DB00058')
('DB01176', 'DB00103')
('DB00424', 'DB00100')
('DB04825', 'DB00058')
('DB01549', 'DB00005')
('DB01794', 'DB00009')
('DB11649', 'DB00053')
('DB03054', 'DB04899')
('DB02407', 'DB00100')
('DB07845', 'DB00055')
('DB01565', 'DB01269')
('DB02911', 'DB09045')
('DB00699', 'DB00055')
('DB12162', 'DB00100')
('DB07695', 'DB04899')
('DB06922', 'DB00025')
('DB11220', 'DB00053')
('DB02911', 'DB05237')
('DB02797', 'DB04976')
('DB03717', 'DB00033')
('DB06433', 'DB04963')
('DB03112', 'DB00033')
('DB12926', 'DB04976')
('DB07971', 'DB00103')
('DB08680', 'DB00103')
('DB01237', 'DB00025')
('DB05458', 'DB00013')
('DB09194', 'DB00103')
('DB03263', 'DB05829')
('DB04202', 'DB00055')
('DB05448', 'DB00053')
('DB04569', 'DB01269')
('DB11591', 'DB04963')
('DB11594', 'DB04963')
('DB08652', 'DB09045')
('DB09020', 'DB05237')
('DB04282', 'DB09045')
('DB08708', 'DB00053')
('DB02811', 'DB00003')
('DB01148', 'DB09045')
('DB07511', 'DB00060')
('DB12779', 'DB05237')
('DB01675', 'DB05237')
('DB02892', 'DB00005')
('DB06266', 'DB00103')
('DB03535', 'DB00100')
('DB02811', 'DB00005')
('DB12212', 'DB00055')
('DB11868', 'DB00060')
('DB08170', 'DB04899')
('DB05116', 'DB00009')
('DB05003', 'DB00055')
('DB09073', 'DB00005')
('DB06419', 'DB05829')
('DB01493', 'DB00003')
('DB03360', 'DB00100')
('DB13707', 'DB00003')
('DB00166', 'DB04899')
('DB04681', 'DB00055')
('DB06935', 'DB05237')
('DB07333', 'DB00003')
('DB00189', 'DB00013')
('DB05103', 'DB00053')
('DB05416', 'DB01269')
('DB04500', 'DB04963')
('DB06848', 'DB00100')
('DB08670', 'DB00053')
('DB11864', 'DB00009')
('DB02420', 'DB00013')
('DB05104', 'DB00100')
('DB02768', 'DB04963')
('DB11723', 'DB00058')
('DB12062', 'DB05237')
('DB08949', 'DB00009')
('DB02421', 'DB00003')
('DB13028', 'DB00036')
('DB08598', 'DB00060')
('DB11651', 'DB00103')
('DB07864', 'DB00055')
('DB12985', 'DB00005')
('DB06985', 'DB00103')
('DB06258', 'DB05237')
('DB08815', 'DB04899')
('DB00961', 'DB05237')
('DB07764', 'DB00103')
('DB12707', 'DB04963')
('DB08527', 'DB00103')
('DB08712', 'DB00033')
('DB12506', 'DB00005')
('DB00462', 'DB00013')
('DB08979', 'DB00058')
('DB07110', 'DB00003')
('DB02586', 'DB09045')
('DB11183', 'DB05237')
('DB13028', 'DB00003')
('DB08589', 'DB00100')
('DB01549', 'DB00013')
('DB00507', 'DB00005')
('DB13882', 'DB00053')
('DB04291', 'DB00003')
('DB06985', 'DB04963')
('DB07884', 'DB05237')
('DB04271', 'DB05237')
('DB12901', 'DB05829')
('DB05779', 'DB00055')
('DB12816', 'DB00033')
('DB04584', 'DB09045')
('DB00733', 'DB00003')
('DB01462', 'DB00005')
('DB03718', 'DB00003')
('DB09205', 'DB05237')
('DB03938', 'DB00053')
('DB02856', 'DB04963')
('DB04068', 'DB05237')
('DB13158', 'DB00003')
('DB03726', 'DB04963')
('DB11594', 'DB05829')
('DB00754', 'DB04963')
('DB01130', 'DB04899')
('DB07952', 'DB04899')
('DB12975', 'DB00013')
('DB04728', 'DB00036')
('DB06802', 'DB00058')
('DB09398', 'DB05829')
('DB03722', 'DB00025')
('DB00982', 'DB01269')
('DB06786', 'DB04963')
('DB00502', 'DB01269')
('DB05186', 'DB05237')
('DB00361', 'DB00013')
